Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,1,9,10,10,5,12,27,39,30.76923077
2017 Q2,0,3,3,0,7.037037037,6,23,29,20.68965517
2017 Q3,1,8,9,11.11111111,12.03703704,11,25,36,30.55555556
2017 Q4,2,6,8,25,18.7037037,8,15,23,34.7826087
2018 Q1,1,4,5,20,15,8,24,32,25
2018 Q2,0,4,4,0,6.666666667,7,16,23,30.43478261
2018 Q3,0,3,3,0,0,2,9,11,18.18181818
2018 Q4,0,5,5,0,3.333333333,9,7,16,56.25
2019 Q1,1,9,10,10,3.333333333,3,14,17,17.64705882
2019 Q2,0,3,3,0,3.333333333,6,18,24,25
2019 Q3,0,5,5,0,4.761904762,3,9,12,25
2019 Q4,1,6,7,14.28571429,4.761904762,4,16,20,20
2020 Q1,0,4,4,0,4.761904762,5,10,15,33.33333333
2020 Q2,0,5,5,0,0,2,6,8,25
2020 Q3,0,5,5,0,0,2,16,18,11.11111111
2020 Q4,0,4,4,0,0,3,14,17,17.64705882
2021 Q1,0,2,2,0,0,1,13,14,7.142857143
2021 Q2,0,4,4,0,0,1,15,16,6.25
2021 Q3,0,8,8,0,6.666666667,7,15,22,31.81818182
2021 Q4,1,4,5,20,6.666666667,4,20,24,16.66666667
2022 Q1,0,5,5,0,13.33333333,3,11,14,21.42857143
2022 Q2,1,4,5,20,23.33333333,1,8,9,11.11111111
2022 Q3,1,1,2,50,23.33333333,0,22,22,0
2022 Q4,0,2,2,0,16.66666667,2,23,25,8
2023 Q1,0,3,3,0,11.11111111,5,17,22,22.72727273
2023 Q2,2,4,6,33.33333333,11.11111111,3,18,21,14.28571429
2023 Q3,0,3,3,0,23.61111111,11,28,39,28.20512821
2023 Q4,3,5,8,37.5,12.5,8,34,42,19.04761905
2024 Q1,0,2,2,0,12.5,12,32,44,27.27272727
2024 Q2,0,2,2,0,0,15,39,54,27.77777778
