Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,5,39,44,11.36363636,88.63636364
2017 Q2,13,28,41,31.70731707,68.29268293
2017 Q3,9,43,52,17.30769231,82.69230769
2017 Q4,3,45,48,6.25,93.75
2018 Q1,4,33,37,10.81081081,89.18918919
2018 Q2,9,45,54,16.66666667,83.33333333
2018 Q3,11,35,46,23.91304348,76.08695652
2018 Q4,13,24,37,35.13513514,64.86486486
2019 Q1,4,32,36,11.11111111,88.88888889
2019 Q2,7,37,44,15.90909091,84.09090909
2019 Q3,5,41,46,10.86956522,89.13043478
2019 Q4,12,33,45,26.66666667,73.33333333
2020 Q1,12,43,55,21.81818182,78.18181818
2020 Q2,4,55,59,6.779661017,93.22033898
2020 Q3,13,47,60,21.66666667,78.33333333
2020 Q4,8,33,41,19.51219512,80.48780488
2021 Q1,14,51,65,21.53846154,78.46153846
2021 Q2,3,52,55,5.454545455,94.54545455
2021 Q3,7,54,61,11.47540984,88.52459016
2021 Q4,15,36,51,29.41176471,70.58823529
2022 Q1,4,45,49,8.163265306,91.83673469
2022 Q2,3,30,33,9.090909091,90.90909091
2022 Q3,7,44,51,13.7254902,86.2745098
2022 Q4,7,37,44,15.90909091,84.09090909
2023 Q1,9,34,43,20.93023256,79.06976744
2023 Q2,5,32,37,13.51351351,86.48648649
2023 Q3,10,40,50,20,80
2023 Q4,7,33,40,17.5,82.5
2024 Q1,2,32,34,5.882352941,94.11764706
2024 Q2,11,47,58,18.96551724,81.03448276
2024 Q3,12,40,52,23.07692308,76.92307692
2024 Q4,15,46,61,24.59016393,75.40983607
2025 Q1,5,30,35,14.28571429,85.71428571
2025 Q2,4,31,35,11.42857143,88.57142857
