Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2020 Q1,174,465,25,664,26.20481928
2020 Q2,184,433,19,636,28.93081761
2020 Q3,167,569,30,766,21.80156658
2020 Q4,148,596,24,768,19.27083333
2021 Q1,144,898,26,1068,13.48314607
2021 Q2,220,715,22,957,22.98850575
2021 Q3,207,722,28,957,21.63009404
2021 Q4,151,607,30,788,19.16243655
2022 Q1,183,620,19,822,22.26277372
2022 Q2,174,454,24,652,26.68711656
2022 Q3,109,440,36,585,18.63247863
2022 Q4,155,608,36,799,19.39924906
2023 Q1,163,521,43,727,22.42090784
2023 Q2,161,514,41,716,22.48603352
2023 Q3,155,566,50,771,20.10376135
