Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,352,108,460,23.47826087
2017 Q2,324,118,442,26.69683258
2017 Q3,353,137,490,27.95918367
2017 Q4,275,116,391,29.66751918
2018 Q1,319,120,439,27.33485194
2018 Q2,279,151,430,35.11627907
2018 Q3,305,134,439,30.523918
2018 Q4,303,99,402,24.62686567
2019 Q1,297,121,418,28.94736842
2019 Q2,256,120,376,31.91489362
2019 Q3,306,162,468,34.61538462
2019 Q4,291,148,439,33.71298405
2020 Q1,302,130,432,30.09259259
2020 Q2,169,72,241,29.87551867
2020 Q3,253,107,360,29.72222222
2020 Q4,239,110,349,31.51862464
2021 Q1,299,111,410,27.07317073
2021 Q2,274,136,410,33.17073171
2021 Q3,294,135,429,31.46853147
2021 Q4,245,112,357,31.37254902
2022 Q1,264,127,391,32.48081841
2022 Q2,266,150,416,36.05769231
2022 Q3,228,118,346,34.10404624
2022 Q4,209,97,306,31.69934641
2023 Q1,273,80,353,22.66288952
2023 Q2,219,44,263,16.73003802
