Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2019 Q1,12,21,13,46
2019 Q2,20,23,21,64
2019 Q3,26,15,14,55
2019 Q4,19,23,24,66
2020 Q1,30,27,24,81
2020 Q2,22,24,11,57
2020 Q3,16,15,19,50
2020 Q4,26,11,11,48
2021 Q1,19,11,12,42
2021 Q2,21,13,14,48
2021 Q3,36,8,7,51
2021 Q4,36,16,10,62
2022 Q1,40,16,8,64
2022 Q2,32,24,9,65
2022 Q3,26,13,7,46
2022 Q4,21,7,9,37
2023 Q1,10,16,12,38
2023 Q2,26,14,16,56
2023 Q3,23,19,10,52
2023 Q4,20,7,11,38
2024 Q1,22,11,15,48
