Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,184.0801,147.5
2017 Q2,192.3691,148.5
2017 Q3,185.0015,145.5
2017 Q4,198.4219,156
2018 Q1,192.3396,154.5
2018 Q2,192.6376,156
2018 Q3,202.7101,161
2018 Q4,208.1067,161.5
2019 Q1,228.5515,193
2019 Q2,219.1349,169
2019 Q3,226.2771,184
2019 Q4,222.8886,160
2020 Q1,213.4343,176
2020 Q2,244.1013,198
2020 Q3,283.2573,258
2020 Q4,304.9287,288
2021 Q1,269.9528,237
2021 Q2,298.7367,233
2021 Q3,291.3578,215.5
2021 Q4,287.1236,238
2022 Q1,301.3443,247
2022 Q2,341.8443,289
2022 Q3,339.0595,277.5
2022 Q4,319.5346,268
2023 Q1,323.7481,270
2023 Q2,312.2283,262.5
2023 Q3,311.793,247
2023 Q4,335.4611,269
2024 Q1,312.9183,251
2024 Q2,318.1228,257
2024 Q3,311.9889,243
2024 Q4,292.1782,229
2025 Q1,295.9431,231
2025 Q2,310.986,261
