Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,382,280,662,57.70392749,42.29607251
2017 Q2,415,303,718,57.7994429,42.2005571
2017 Q3,378,278,656,57.62195122,42.37804878
2017 Q4,382,277,659,57.96661608,42.03338392
2018 Q1,410,282,692,59.24855491,40.75144509
2018 Q2,384,259,643,59.72006221,40.27993779
2018 Q3,387,258,645,60,40
2018 Q4,466,312,778,59.89717224,40.10282776
2019 Q1,395,207,602,65.61461794,34.38538206
2019 Q2,522,301,823,63.42648846,36.57351154
2019 Q3,508,275,783,64.87867178,35.12132822
2019 Q4,463,291,754,61.40583554,38.59416446
2020 Q1,467,256,723,64.59197787,35.40802213
2020 Q2,267,118,385,69.35064935,30.64935065
2020 Q3,449,134,583,77.01543739,22.98456261
2020 Q4,384,107,491,78.20773931,21.79226069
2021 Q1,460,176,636,72.32704403,27.67295597
2021 Q2,409,153,562,72.77580071,27.22419929
2021 Q3,333,117,450,74,26
2021 Q4,413,129,542,76.19926199,23.80073801
2022 Q1,420,129,549,76.50273224,23.49726776
2022 Q2,503,107,610,82.45901639,17.54098361
2022 Q3,379,75,454,83.48017621,16.51982379
2022 Q4,372,105,477,77.98742138,22.01257862
2023 Q1,430,94,524,82.0610687,17.9389313
2023 Q2,395,113,508,77.75590551,22.24409449
2023 Q3,348,111,459,75.81699346,24.18300654
2023 Q4,400,88,488,81.96721311,18.03278689
2024 Q1,367,98,465,78.92473118,21.07526882
2024 Q2,399,106,505,79.00990099,20.99009901
2024 Q3,434,108,542,80.07380074,19.92619926
2024 Q4,241,90,331,72.80966767,27.19033233
2025 Q1,238,61,299,79.59866221,20.40133779
2025 Q2,331,98,429,77.15617716,22.84382284
