Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,222.0664,164.5
2017 Q2,208.7023,145
2017 Q3,181.5292,139
2017 Q4,189.3364,150
2018 Q1,199.2682,172
2018 Q2,195.5872,142
2018 Q3,188.0881,127
2018 Q4,204.3559,158
2019 Q1,180.1681,140
2019 Q2,216.8443,182
2019 Q3,200.721,147.5
2019 Q4,232.2972,174
2020 Q1,265.0782,222
2020 Q2,272.9868,235
2020 Q3,223.541,182
2020 Q4,272.1488,245
2021 Q1,280.9731,224.5
2021 Q2,333.8475,265
2021 Q3,307.0791,252
2021 Q4,280.9256,238
2022 Q1,272.7211,217
2022 Q2,294.4886,264
2022 Q3,276.1485,208
2022 Q4,243.0541,190
2023 Q1,306.1886,258
2023 Q2,310.9877,260.5
2023 Q3,281.3974,221
2023 Q4,246.7986,184
2024 Q1,266.1401,201
2024 Q2,266.1867,233
2024 Q3,263.0188,212
2024 Q4,239.1619,215
2025 Q1,235.019,194
