Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,831,2344,323
2017 Q2,734,2303,327
2017 Q3,845,2352,365
2017 Q4,783,2517,344
2018 Q1,827,2197,311
2018 Q2,808,2410,346
2018 Q3,837,2449,364
2018 Q4,763,2210,301
2019 Q1,753,2339,269
2019 Q2,810,2240,252
2019 Q3,854,2546,395
2019 Q4,723,2224,253
2020 Q1,753,2268,194
2020 Q2,672,1846,190
2020 Q3,616,2333,338
2020 Q4,630,1828,181
2021 Q1,557,2255,135
2021 Q2,549,2104,159
2021 Q3,544,2095,245
2021 Q4,508,2176,202
2022 Q1,488,2034,172
2022 Q2,526,1865,222
2022 Q3,562,2008,274
2022 Q4,542,1731,240
2023 Q1,535,1764,210
2023 Q2,508,1962,229
2023 Q3,554,2253,282
2023 Q4,546,2181,252
2024 Q1,554,2091,250
2024 Q2,565,2172,264
