Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,831,2344,323
2017 Q2,734,2300,327
2017 Q3,845,2351,365
2017 Q4,783,2514,344
2018 Q1,827,2194,310
2018 Q2,808,2409,346
2018 Q3,836,2449,364
2018 Q4,763,2210,301
2019 Q1,752,2339,269
2019 Q2,810,2239,252
2019 Q3,854,2544,395
2019 Q4,723,2222,253
2020 Q1,753,2267,194
2020 Q2,672,1846,190
2020 Q3,616,2333,337
2020 Q4,630,1828,181
2021 Q1,557,2254,135
2021 Q2,549,2103,159
2021 Q3,544,2096,245
2021 Q4,508,2175,202
2022 Q1,489,2033,172
2022 Q2,527,1865,223
2022 Q3,562,2007,273
2022 Q4,542,1729,241
2023 Q1,535,1762,211
2023 Q2,509,1962,229
2023 Q3,555,2254,282
2023 Q4,546,2179,253
2024 Q1,554,2086,253
2024 Q2,567,2179,260
2024 Q3,537,2379,330
2024 Q4,581,2455,249
2025 Q1,513,2452,236
2025 Q2,548,2523,282
2025 Q3,562,2856,339
2025 Q4,491,2528,308
