Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,758,2076,105,2939,25.7910854
2017 Q2,748,2350,113,3211,23.2949237
2017 Q3,706,2577,145,3428,20.59509918
2017 Q4,797,2402,135,3334,23.90521896
2018 Q1,737,2208,124,3069,24.01433692
2018 Q2,767,2318,135,3220,23.81987578
2018 Q3,830,2523,114,3467,23.94000577
2018 Q4,791,2258,114,3163,25.00790389
2019 Q1,795,2328,114,3237,24.55977757
2019 Q2,720,2501,70,3291,21.87784868
2019 Q3,907,2168,75,3150,28.79365079
2019 Q4,821,2597,104,3522,23.31061897
2020 Q1,720,2212,72,3004,23.96804261
2020 Q2,570,1756,75,2401,23.74010829
2020 Q3,493,2168,68,2729,18.06522536
2020 Q4,619,2159,67,2845,21.75746924
2021 Q1,628,2181,52,2861,21.950367
2021 Q2,621,1943,48,2612,23.77488515
2021 Q3,658,2700,57,3415,19.26793558
2021 Q4,581,2297,62,2940,19.76190476
2022 Q1,516,1972,70,2558,20.17200938
2022 Q2,498,1622,82,2202,22.61580381
2022 Q3,519,1907,154,2580,20.11627907
2022 Q4,563,1339,72,1974,28.52077001
2023 Q1,462,1582,100,2144,21.54850746
2023 Q2,539,1622,129,2290,23.5371179
2023 Q3,494,1703,109,2306,21.42237641
2023 Q4,550,1562,146,2258,24.3578388
2024 Q1,494,1658,163,2315,21.33909287
2024 Q2,556,1560,131,2247,24.74410325
2024 Q3,627,1727,113,2467,25.41548439
2024 Q4,510,1694,101,2305,22.12581345
2025 Q1,474,1613,84,2171,21.83325656
2025 Q2,500,1606,141,2247,22.25189141
