Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,83,78,10,39
2017 Q2,92,93,15,44
2017 Q3,74,72,7,34
2017 Q4,57,92,12,47
2018 Q1,77,79,8,34
2018 Q2,94,75,7,41
2018 Q3,80,65,10,36
2018 Q4,67,81,12,34
2019 Q1,70,64,12,38
2019 Q2,81,73,18,37
2019 Q3,78,78,13,29
2019 Q4,74,64,6,32
2020 Q1,69,58,6,39
2020 Q2,43,28,8,27
2020 Q3,68,47,16,34
2020 Q4,59,41,14,17
2021 Q1,66,42,16,28
2021 Q2,87,44,14,26
2021 Q3,81,41,13,37
2021 Q4,78,27,8,34
2022 Q1,60,36,12,33
2022 Q2,65,47,12,38
2022 Q3,68,36,26,41
2022 Q4,66,49,18,37
2023 Q1,75,57,11,30
2023 Q2,60,54,13,39
2023 Q3,58,41,14,55
2023 Q4,71,67,16,33
2024 Q1,73,52,24,46
2024 Q2,81,63,19,35
2024 Q3,75,52,18,45
2024 Q4,40,26,11,34
2025 Q1,48,24,2,23
