Filing Month,Victim contact,No victim contact,Total,Percent of cases with at least one contact
2021 Q1,213,12,225,94.66666667
2021 Q2,188,16,204,92.15686275
2021 Q3,175,15,190,92.10526316
2021 Q4,151,10,161,93.78881988
2022 Q1,161,17,178,90.4494382
2022 Q2,180,15,195,92.30769231
2022 Q3,169,20,189,89.41798942
2022 Q4,171,21,192,89.0625
2023 Q1,148,14,162,91.35802469
2023 Q2,142,18,160,88.75
2023 Q3,171,20,191,89.52879581
2023 Q4,176,16,192,91.66666667
2024 Q1,158,17,175,90.28571429
2024 Q2,173,23,196,88.26530612
2024 Q3,159,35,194,81.95876289
