Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,220,1065,72
2017 Q2,271,1225,64
2017 Q3,246,1084,84
2017 Q4,241,1048,98
2018 Q1,250,1022,95
2018 Q2,268,1026,65
2018 Q3,317,1191,84
2018 Q4,246,1002,69
2019 Q1,291,989,75
2019 Q2,266,1013,55
2019 Q3,311,1104,101
2019 Q4,287,1071,101
2020 Q1,248,1042,55
2020 Q2,212,778,45
2020 Q3,230,1015,81
2020 Q4,199,1165,73
2021 Q1,229,1210,73
2021 Q2,200,1084,78
2021 Q3,204,1120,81
2021 Q4,187,948,63
2022 Q1,207,954,66
2022 Q2,189,917,97
2022 Q3,174,1000,115
