Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,217,1065,72
2017 Q2,271,1226,64
2017 Q3,244,1083,84
2017 Q4,241,1048,98
2018 Q1,250,1023,95
2018 Q2,267,1024,65
2018 Q3,317,1191,84
2018 Q4,245,1002,69
2019 Q1,291,987,75
2019 Q2,267,1013,55
2019 Q3,311,1105,101
2019 Q4,287,1069,101
2020 Q1,248,1042,55
2020 Q2,211,778,45
2020 Q3,228,1015,81
2020 Q4,199,1165,72
2021 Q1,229,1210,73
2021 Q2,200,1082,78
2021 Q3,203,1120,81
2021 Q4,187,947,63
2022 Q1,208,954,66
2022 Q2,187,917,96
2022 Q3,175,1008,113
2022 Q4,160,880,80
2023 Q1,146,887,77
2023 Q2,156,842,94
2023 Q3,167,979,103
2023 Q4,180,860,75
2024 Q1,186,897,105
2024 Q2,138,895,141
2024 Q3,181,965,143
