Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,7,13,34,15,9,4,82,15.85365854,41.46341463
2017 Q2,7,14,24,25,11,5,86,16.27906977,27.90697674
2017 Q3,3,17,36,23,14,2,95,17.89473684,37.89473684
2017 Q4,3,14,18,23,15,4,77,18.18181818,23.37662338
2018 Q1,7,18,36,27,14,6,108,16.66666667,33.33333333
2018 Q2,6,7,36,18,15,2,84,8.333333333,42.85714286
2018 Q3,4,15,36,24,16,4,99,15.15151515,36.36363636
2018 Q4,2,18,32,26,26,2,106,16.98113208,30.18867925
2019 Q1,3,9,22,15,23,1,73,12.32876712,30.1369863
2019 Q2,4,14,10,25,17,3,73,19.17808219,13.69863014
2019 Q3,2,17,26,22,14,3,84,20.23809524,30.95238095
2019 Q4,0,16,20,21,11,6,74,21.62162162,27.02702703
2020 Q1,2,17,17,21,17,3,77,22.07792208,22.07792208
2020 Q2,1,14,36,23,18,4,96,14.58333333,37.5
2020 Q3,5,20,32,22,14,3,96,20.83333333,33.33333333
2020 Q4,2,26,24,22,17,5,96,27.08333333,25
2021 Q1,5,21,32,31,19,4,112,18.75,28.57142857
2021 Q2,5,9,23,21,13,3,74,12.16216216,31.08108108
2021 Q3,3,20,19,17,27,2,88,22.72727273,21.59090909
2021 Q4,8,21,27,21,27,3,107,19.62616822,25.23364486
2022 Q1,0,10,22,27,16,3,78,12.82051282,28.20512821
2022 Q2,3,21,27,26,29,5,111,18.91891892,24.32432432
2022 Q3,4,28,31,24,25,5,117,23.93162393,26.4957265
2022 Q4,6,14,21,39,27,4,111,12.61261261,18.91891892
2023 Q1,6,19,19,32,17,4,97,19.58762887,19.58762887
2023 Q2,9,17,20,34,14,6,100,17,20
2023 Q3,7,13,33,41,21,6,121,10.74380165,27.27272727
2023 Q4,4,12,22,32,26,3,99,12.12121212,22.22222222
2024 Q1,12,19,36,34,26,5,132,14.39393939,27.27272727
2024 Q2,3,18,20,30,10,3,84,21.42857143,23.80952381
2024 Q3,9,18,33,26,19,4,109,16.51376147,30.27522936
2024 Q4,11,21,23,30,18,4,107,19.62616822,21.4953271
2025 Q1,8,20,23,24,14,5,94,21.27659574,24.46808511
2025 Q2,11,29,32,28,14,2,116,25,27.5862069
