Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,395,2798,179
2017 Q2,363,2621,150
2017 Q3,384,2325,196
2017 Q4,408,2193,166
2018 Q1,374,2545,178
2018 Q2,425,2410,168
2018 Q3,336,2330,197
2018 Q4,404,2342,178
2019 Q1,353,2448,132
2019 Q2,350,2585,207
2019 Q3,433,2456,190
2019 Q4,383,2439,150
2020 Q1,413,2458,185
2020 Q2,293,1947,150
2020 Q3,332,2241,134
2020 Q4,347,2334,95
2021 Q1,303,2205,101
2021 Q2,286,2267,155
2021 Q3,328,2275,174
2021 Q4,317,2302,143
2022 Q1,362,2382,132
2022 Q2,365,1974,183
2022 Q3,235,2084,196
2022 Q4,303,2053,202
2023 Q1,262,2211,163
2023 Q2,405,2264,188
2023 Q3,361,2406,192
2023 Q4,398,2712,235
2024 Q1,389,2078,149
2024 Q2,355,2702,169
2024 Q3,377,2647,231
2024 Q4,368,3144,267
2025 Q1,340,2400,180
