Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,3,38,9,15,12,0,9,1,87,18.3908046,43.67816092,37.93103448
2017 Q2,0,50,9,14,11,3,4,0,91,18.68131868,54.94505495,26.37362637
2017 Q3,2,43,21,23,10,1,8,1,109,22.93577982,39.44954128,37.6146789
2017 Q4,3,41,13,17,14,2,5,1,96,20.83333333,42.70833333,36.45833333
2018 Q1,5,26,12,13,16,0,5,3,80,20,32.5,47.5
2018 Q2,4,47,8,22,9,0,5,3,98,25.51020408,47.95918367,26.53061224
2018 Q3,5,29,11,15,11,0,5,3,79,22.78481013,36.70886076,40.50632911
2018 Q4,8,38,9,27,13,2,5,3,105,30.47619048,36.19047619,33.33333333
2019 Q1,8,38,20,21,6,0,5,3,101,23.76237624,37.62376238,38.61386139
2019 Q2,8,54,16,31,7,0,4,1,121,26.44628099,44.62809917,28.92561983
2019 Q3,4,58,15,22,11,1,9,2,122,20.49180328,47.54098361,31.96721311
2019 Q4,5,35,9,19,16,2,5,0,91,23.07692308,38.46153846,38.46153846
2020 Q1,3,45,8,19,9,3,7,3,97,25.77319588,46.39175258,27.83505155
2020 Q2,1,30,5,11,4,0,0,0,51,21.56862745,58.82352941,19.60784314
2020 Q3,3,36,12,16,10,1,1,2,81,23.45679012,44.44444444,32.09876543
2020 Q4,4,27,5,7,11,2,1,0,57,15.78947368,47.36842105,36.84210526
2021 Q1,3,28,11,16,7,1,1,2,69,27.53623188,40.57971014,31.88405797
2021 Q2,2,24,7,14,16,0,1,3,67,25.37313433,35.82089552,38.80597015
2021 Q3,4,20,7,19,21,1,5,4,81,29.62962963,24.69135802,45.67901235
2021 Q4,4,33,8,12,5,2,0,0,64,21.875,51.5625,26.5625
2022 Q1,3,38,7,11,12,1,1,1,74,17.56756757,51.35135135,31.08108108
2022 Q2,2,29,5,12,17,0,0,2,67,20.89552239,43.28358209,35.82089552
2022 Q3,3,41,10,15,15,3,0,2,89,22.47191011,46.06741573,31.46067416
2022 Q4,5,30,5,15,6,1,2,0,64,25,46.875,28.125
2023 Q1,4,27,8,21,13,1,0,0,74,29.72972973,36.48648649,33.78378378
2023 Q2,2,24,6,14,21,2,1,1,71,23.94366197,33.8028169,42.25352113
2023 Q3,5,45,1,17,7,0,2,1,78,23.07692308,57.69230769,19.23076923
2023 Q4,5,34,1,11,8,1,0,2,62,22.58064516,54.83870968,22.58064516
2024 Q1,6,39,4,19,3,2,0,0,73,28.76712329,53.42465753,17.80821918
2024 Q2,1,40,2,18,9,1,1,0,72,26.38888889,55.55555556,18.05555556
2024 Q3,6,42,2,17,5,0,1,0,73,23.28767123,57.53424658,19.17808219
2024 Q4,5,18,2,8,13,0,0,0,46,17.39130435,39.13043478,43.47826087
2025 Q1,4,14,6,10,4,0,2,1,41,26.82926829,34.14634146,39.02439024
2025 Q2,4,20,4,22,5,1,1,1,58,41.37931034,34.48275862,24.13793103
