Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,26,23,4,16
2017 Q2,29,17,6,10
2017 Q3,25,23,12,8
2017 Q4,37,34,8,11
2018 Q1,28,27,7,20
2018 Q2,29,25,6,24
2018 Q3,30,13,2,22
2018 Q4,39,35,10,28
2019 Q1,37,17,7,34
2019 Q2,21,25,10,15
2019 Q3,22,18,9,21
2019 Q4,27,25,6,17
2020 Q1,19,20,2,20
2020 Q2,12,20,4,7
2020 Q3,20,16,8,8
2020 Q4,28,4,4,7
2021 Q1,17,9,5,10
2021 Q2,26,13,7,10
2021 Q3,24,17,7,27
2021 Q4,29,14,3,12
2022 Q1,34,12,6,16
2022 Q2,16,9,11,15
2022 Q3,21,10,10,10
2022 Q4,25,4,3,8
2023 Q1,16,17,7,12
2023 Q2,21,10,10,18
2023 Q3,25,12,4,13
2023 Q4,31,9,5,11
2024 Q1,23,10,7,9
2024 Q2,30,9,4,6
2024 Q3,34,1,5,8
