Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,11,4,15
2017 Q2,14,2,16
2017 Q3,12,4,16
2017 Q4,7,3,10
2018 Q1,4,7,11
2018 Q2,16,3,19
2018 Q3,7,6,13
2018 Q4,10,2,12
2019 Q1,6,4,10
2019 Q2,12,5,17
2019 Q3,15,8,23
2019 Q4,16,7,23
2020 Q1,13,9,22
2020 Q2,9,2,11
2020 Q3,12,6,18
2020 Q4,11,3,14
2021 Q1,12,6,18
2021 Q2,14,6,20
2021 Q3,17,5,22
2021 Q4,5,5,10
2022 Q1,17,3,20
2022 Q2,11,5,16
2022 Q3,9,4,13
2022 Q4,10,3,13
2023 Q1,7,6,13
2023 Q2,11,9,20
2023 Q3,7,1,8
2023 Q4,7,4,11
2024 Q1,12,7,19
2024 Q2,7,11,18
