Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,8,33,26,44,49,32,192,17.1875,13.54166667
2017 Q2,9,31,25,39,47,28,179,17.31843575,13.96648045
2017 Q3,3,27,34,44,63,32,203,13.30049261,16.74876847
2017 Q4,5,30,28,46,52,38,199,15.07537688,14.07035176
2018 Q1,13,38,27,37,51,33,199,19.09547739,13.5678392
2018 Q2,8,36,27,46,66,25,208,17.30769231,12.98076923
2018 Q3,11,24,47,38,65,32,217,11.05990783,21.65898618
2018 Q4,7,29,29,41,61,23,190,15.26315789,15.26315789
2019 Q1,8,28,39,28,57,20,180,15.55555556,21.66666667
2019 Q2,12,32,32,30,41,26,173,18.49710983,18.49710983
2019 Q3,10,38,41,42,76,24,231,16.45021645,17.74891775
2019 Q4,6,32,37,32,62,25,194,16.49484536,19.07216495
2020 Q1,13,32,36,35,65,31,212,15.09433962,16.98113208
2020 Q2,13,34,28,43,67,27,212,16.03773585,13.20754717
2020 Q3,15,29,33,58,72,20,227,12.7753304,14.53744493
2020 Q4,11,40,31,32,41,19,174,22.98850575,17.81609195
2021 Q1,14,39,35,42,63,31,224,17.41071429,15.625
2021 Q2,12,37,38,27,64,34,212,17.45283019,17.9245283
2021 Q3,10,38,32,46,70,19,215,17.6744186,14.88372093
2021 Q4,10,23,34,38,60,15,180,12.77777778,18.88888889
2022 Q1,10,42,22,30,57,26,187,22.45989305,11.76470588
2022 Q2,11,36,30,27,57,19,180,20,16.66666667
2022 Q3,12,31,37,44,52,31,207,14.97584541,17.87439614
2022 Q4,10,31,34,36,58,25,194,15.97938144,17.5257732
2023 Q1,18,46,39,45,59,21,228,20.1754386,17.10526316
2023 Q2,10,29,43,38,62,22,204,14.21568627,21.07843137
2023 Q3,13,50,32,53,72,26,246,20.32520325,13.00813008
2023 Q4,11,35,31,52,57,23,209,16.74641148,14.83253589
2024 Q1,12,49,37,58,49,28,233,21.03004292,15.87982833
2024 Q2,15,33,39,45,67,36,235,14.04255319,16.59574468
