Disposition Quarter,Average number of hearings per case
2017 Q1,5.6697
2017 Q2,5.6462
2017 Q3,5.4502
2017 Q4,5.9008
2018 Q1,5.8038
2018 Q2,5.5649
2018 Q3,6.0034
2018 Q4,5.9094
2019 Q1,6.1818
2019 Q2,5.9704
2019 Q3,6.1658
2019 Q4,6.016
2020 Q1,6.5339
2020 Q2,7.1713
2020 Q3,7.223
2020 Q4,7.5126
2021 Q1,7.8767
2021 Q2,8.2646
2021 Q3,8.2234
2021 Q4,8.6114
2022 Q1,8.2704
2022 Q2,7.8904
2022 Q3,8.4167
2022 Q4,8.2245
2023 Q1,8.0968
2023 Q2,7.7684
2023 Q3,7.4773
2023 Q4,8.0861
2024 Q1,7.8069
2024 Q2,7.5
2024 Q3,8.0061
2024 Q4,7.8627
2025 Q1,7.7966
