DispositionMonth,Actual Average number of days to felony resolution,Actual Median number of days to felony resolution,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,219.0840,136.0000,201.1942,138.5000
2017 Q2,183.3043,141.0000,193.4337,142.6667
2017 Q3,177.9128,151.0000,189.4471,151.6667
2017 Q4,207.1242,163.0000,184.1212,147.3333
2018 Q1,167.3267,128.0000,171.6434,135.0000
2018 Q2,140.4795,114.0000,154.6576,120.5000
2018 Q3,156.1667,119.5000,159.1432,127.0000
2018 Q4,180.7833,147.5000,172.3626,140.0000
2019 Q1,180.1379,153.0000,189.0071,147.5000
2019 Q2,206.1000,142.0000,194.3414,147.6667
2019 Q3,196.7862,148.0000,205.3320,144.3333
2019 Q4,213.1097,143.0000,206.0781,149.0000
2020 Q1,208.3383,156.0000,209.2361,156.0000
2020 Q2,206.2604,169.0000,210.9739,165.3333
2020 Q3,218.3231,171.0000,207.8085,160.1667
2020 Q4,198.8421,140.5000,216.7352,160.5000
2021 Q1,233.0404,170.0000,210.6519,155.1667
2021 Q2,200.0732,155.0000,209.4503,155.0000
2021 Q3,195.2374,140.0000,204.0182,153.6667
2021 Q4,216.7440,166.0000,215.3191,163.3333
2022 Q1,233.9758,184.0000,227.8510,174.3333
2022 Q2,232.8333,173.0000,234.3326,175.1667
2022 Q3,236.1885,168.5000,230.6603,165.5000
2022 Q4,222.9589,155.0000,218.3825,155.0000
2023 Q1,196.0000,141.5000,205.2167,144.5000
2023 Q2,196.6911,137.0000,209.9501,145.1667
2023 Q3,237.1593,157.0000,203.4221,136.3333
2023 Q4,176.4158,115.0000,209.5109,141.0000
2024 Q1,214.9574,151.0000,209.3863,149.0000
2024 Q2,236.7857,181.0000,221.2334,167.6667
2024 Q3,211.9570,171.0000,224.3714,176.0000
