Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,49,28,66,143
2017 Q2,41,33,60,134
2017 Q3,43,39,61,143
2017 Q4,67,44,59,170
2018 Q1,55,42,53,150
2018 Q2,90,46,62,198
2018 Q3,50,42,73,165
2018 Q4,69,53,66,188
2019 Q1,98,34,49,181
2019 Q2,77,38,65,180
2019 Q3,59,31,56,146
2019 Q4,39,32,46,117
2020 Q1,71,36,45,152
2020 Q2,27,17,18,62
2020 Q3,53,21,32,106
2020 Q4,43,24,29,96
2021 Q1,68,20,32,120
2021 Q2,68,24,37,129
2021 Q3,79,27,42,148
2021 Q4,62,34,30,126
2022 Q1,76,31,33,140
2022 Q2,100,24,31,155
2022 Q3,71,40,36,147
2022 Q4,65,25,34,124
2023 Q1,88,45,52,185
2023 Q2,81,36,51,168
2023 Q3,78,32,34,144
2023 Q4,81,24,39,144
2024 Q1,89,25,40,154
2024 Q2,87,36,45,168
2024 Q3,58,24,31,113
2024 Q4,36,8,15,59
2025 Q1,31,13,12,56
