Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,5,43,48,10.41666667,89.58333333
2017 Q2,3,42,45,6.666666667,93.33333333
2017 Q3,4,34,38,10.52631579,89.47368421
2017 Q4,6,53,59,10.16949153,89.83050847
2018 Q1,9,51,60,15,85
2018 Q2,5,41,46,10.86956522,89.13043478
2018 Q3,4,35,39,10.25641026,89.74358974
2018 Q4,3,39,42,7.142857143,92.85714286
2019 Q1,10,38,48,20.83333333,79.16666667
2019 Q2,4,41,45,8.888888889,91.11111111
2019 Q3,4,54,58,6.896551724,93.10344828
2019 Q4,4,49,53,7.547169811,92.45283019
2020 Q1,6,37,43,13.95348837,86.04651163
2020 Q2,1,37,38,2.631578947,97.36842105
2020 Q3,8,48,56,14.28571429,85.71428571
2020 Q4,5,62,67,7.462686567,92.53731343
2021 Q1,1,35,36,2.777777778,97.22222222
2021 Q2,7,34,41,17.07317073,82.92682927
2021 Q3,5,53,58,8.620689655,91.37931034
2021 Q4,7,54,61,11.47540984,88.52459016
2022 Q1,4,60,64,6.25,93.75
2022 Q2,4,41,45,8.888888889,91.11111111
2022 Q3,5,39,44,11.36363636,88.63636364
2022 Q4,2,31,33,6.060606061,93.93939394
2023 Q1,2,48,50,4,96
2023 Q2,7,47,54,12.96296296,87.03703704
2023 Q3,1,52,53,1.886792453,98.11320755
2023 Q4,9,57,66,13.63636364,86.36363636
2024 Q1,4,64,68,5.882352941,94.11764706
2024 Q2,3,47,50,6,94
2024 Q3,2,64,66,3.03030303,96.96969697
2024 Q4,11,66,77,14.28571429,85.71428571
