Filing Quarter,Actual Average number of days to victim contact,Average number of days to victim contact
2018 Q2,12.5694,8.8085
2018 Q3,5.0476,7.4890
2018 Q4,4.8500,11.8223
2019 Q1,25.5692,28.3036
2019 Q2,54.4915,35.5022
2019 Q3,26.4459,38.8529
2019 Q4,35.6212,21.3283
2020 Q1,1.9178,16.7706
2020 Q2,12.7727,8.2261
2020 Q3,9.9877,14.4695
2020 Q4,20.6481,10.7578
2021 Q1,1.6377,7.8350
2021 Q2,1.2192,2.2977
2021 Q3,4.0361,2.8939
2021 Q4,3.4262,6.7786
2022 Q1,12.8734,7.5143
2022 Q2,6.2432,8.6023
2022 Q3,6.6901,10.0254
2022 Q4,17.1429,10.7832
2023 Q1,8.5167,14.2013
2023 Q2,16.9444,13.1907
2023 Q3,14.1111,16.0140
2023 Q4,16.9865,19.1992
2024 Q1,26.5000,17.5891
2024 Q2,9.2807,15.3115
2024 Q3,10.1538,10.9782
2024 Q4,13.5000,10.0540
2025 Q1,6.5082,8.0079
2025 Q2,4.0154,6.1027
2025 Q3,7.7846,4.5954
2025 Q4,1.9863,4.8855
